"","site_id","ntaxa","mfd.obs","mfd.rand.mean","mfd.rand.sd","mfd.obs.rank","ses_mfd","p_value","runs"
"34","E3dsm",4,0.330670495689456,0.393570824774702,0.103549632835437,1147,-0.607441353125888,0.2294,4999
"35","e8Lju",3,0.412220950704225,0.393787957276564,0.106595080739681,2515,0.172925366721916,0.503,4999
"36","eLGzd",2,0.114853209626367,0.391465539586108,0.104704285370982,75,-2.64184344489498,0.015,4999
"37","Enp7x",6,0.385032850478927,0.394993123394512,0.106605980753182,1931,-0.0934307141608298,0.3862,4999
"38","ErRUg",4,0.312574680702559,0.393672119411504,0.105906860962713,951,-0.765743012036753,0.1902,4999
"39","eTUNR",8,0.44012486982605,0.392563313123629,0.10648122806979,3194,0.446666117254468,0.6388,4999
"40","fJPzr",7,0.575999118473685,0.391073452334929,0.105002379515411,4939,1.76115690894047,0.9878,4999
"41","fLwK1",6,0.333759728231664,0.389297434499384,0.107564452589386,1273,-0.516320261301642,0.2546,4999
"42","fn6iP",6,0.426703343153711,0.392602734226762,0.104981787951103,2903,0.324824044174514,0.5806,4999
"43","fqMOZ",5,0.318999795602424,0.394354884617053,0.10566996957832,1024,-0.713117353164157,0.2048,4999
"44","FTl5s",11,0.385076604160384,0.395282569485443,0.104891062301503,1933,-0.0973006193389751,0.3866,4999
"45","gbEGj",7,0.426286876446928,0.394056063413805,0.105449615623696,2812,0.305651308850103,0.5624,4999
"46","GDWGB",5,0.315777701925841,0.39398646538672,0.10691627264458,1010,-0.731495417174406,0.202,4999
"47","ggYQS",12,0.415962441314554,0.392556720126648,0.10466451619416,2624,0.223626134615544,0.5248,4999
"48","GNZuC",4,0.263294826841324,0.393680148757144,0.103680581442903,539,-1.25756742585036,0.1078,4999
"49","hEdHx",12,0.471033818057247,0.393518584819047,0.10558818024523,3816,0.734127939871396,0.7632,4999
"50","Hq5sT",4,0.353203098244747,0.395299203021572,0.104613158656758,1407,-0.402397798874848,0.2814,4999
"51","HtRms",2,0.323518760481075,0.394768678607261,0.105378578455603,1041,-0.676132845692204,0.2082,4999
"52","huqmO",6,0.424588078873239,0.393482633353231,0.105132721557773,2788,0.295868356293951,0.5576,4999
"53","IBsVs",2,0.447183098591549,0.394157752004586,0.104071407131309,3336,0.509509269150744,0.6672,4999
"54","iMm0w",5,0.344799368471976,0.394519541520965,0.104472127342312,1319,-0.475918068424856,0.2638,4999
"55","iO6vH",7,0.258763880660054,0.394769179167462,0.105828421769996,561,-1.28514907652121,0.1122,4999
"56","J64gf",5,0.198569156675591,0.395602928813374,0.105694432256894,277,-1.86418307881049,0.0554,4999
"57","jXk3i",5,0.325996002642844,0.395986000256347,0.105128403268871,1064,-0.665757259096761,0.2128,4999
"58","L8NdO",6,0.380924011386123,0.39572064921813,0.1035385787811,1835,-0.142909416047615,0.367,4999
"59","l9qwa",5,0.459548437439039,0.396835357747742,0.104008718510394,3507,0.602959834420322,0.7014,4999
"60","LeJL9",4,0.267777298712912,0.394514573216416,0.104167777381753,607,-1.21666486210068,0.1214,4999
"61","lm8Vb",4,0.503772713441141,0.395081002835272,0.104887526523215,4362,1.03626917526567,0.8724,4999
"62","LqLKT",5,0.367584771478982,0.395343278584751,0.103343596524309,1653,-0.268604035850832,0.3306,4999
"63","lvTbU",6,0.407424078421144,0.396201783226109,0.104212176935578,2354,0.107686985581083,0.4708,4999
"64","Lwe2a",4,0.250028255955486,0.39486179279449,0.105178241823503,494,-1.37702945331646,0.0988,4999
"65","LXbGC",5,0.509877999448833,0.393389270355908,0.105728790046232,4406,1.10176924413859,0.8812,4999
"66","LYkor",9,0.399626082420449,0.396013953746846,0.105330990854376,2204,0.0342931234606565,0.4408,4999
"67","m1Tjg",7,0.230328557444018,0.395480208688652,0.103120401892949,365,-1.60154196660406,0.073,4999
"68","m9rCB",4,0.310898078602899,0.395745512016619,0.104286710607457,909,-0.813597752959076,0.1818,4999
"69","mngaK",2,0.0634229250938155,0.395839447986177,0.106757027940653,39,-3.11376711495898,0.0078,4999
"70","MR9ay",6,0.244035104956481,0.394534394265448,0.107125765317695,497,-1.40488414586951,0.0994,4999
"71","N0NrL",5,0.492177557309833,0.397991664847128,0.103284492137117,4087,0.911907397846974,0.8174,4999
"72","nj3Tv",9,0.404927274480989,0.397222823057807,0.105217773148499,2265,0.0732238593598468,0.453,4999
"73","nSPob",4,0.316515876323027,0.396339042329523,0.105523280062321,970,-0.756450765739588,0.194,4999
"74","NTp7f",4,0.170624374947912,0.397104784069539,0.104187161186048,193,-2.17378424120031,0.0386,4999
"75","oemYW",6,0.437946115239244,0.395365385604421,0.104707924926975,3092,0.406661956719317,0.6184,4999
"76","ov9ky",10,0.57205873783579,0.395722458845655,0.105336189962688,4921,1.67403319839645,0.9842,4999
"77","OxeKC",8,0.419909025332551,0.393314656481618,0.103509539698106,2721,0.256926742486704,0.5442,4999
"78","p4hhS",4,0.254186598270573,0.398714420832289,0.103340693799718,488,-1.39855672772841,0.0976,4999
"79","P4Wxh",6,0.308488256052017,0.397376492661037,0.104593738510224,862,-0.849842809666194,0.1724,4999
"80","P5vps",11,0.51378739794911,0.397219425011983,0.104346810008943,4448,1.11712061851376,0.8896,4999
"81","P9Lc3",9,0.489589372283081,0.398778224273174,0.103984689014394,4100,0.873312685460229,0.82,4999
"82","phL7O",6,0.425671671904707,0.398520397155191,0.102900343320054,2732,0.263859904384052,0.5464,4999
"83","Q19Ql",7,0.486014871715161,0.395840289025773,0.104561309127554,4031,0.862408700137681,0.8062,4999
"84","Q1kCz",12,0.514329832817503,0.3973662624242,0.10504541061349,4442,1.11345721541007,0.8884,4999
"85","Q2diL",5,0.368153664132347,0.395834176290904,0.104792195235908,1663,-0.264146696194716,0.3326,4999
"86","QiOKk",10,0.508570038698813,0.395773129872487,0.104832522531343,4383,1.07597247593276,0.8766,4999
"87","QKrAU",8,0.392936585379458,0.397681954206393,0.102680479520338,2031,-0.0462149071479055,0.4062,4999
"88","qKZQ3",5,0.425424595778368,0.397064117584154,0.105074868864168,2736,0.269907338460501,0.5472,4999
"89","QM7IH",8,0.410239572188595,0.396436735376582,0.10398684153717,2404,0.132736379026175,0.4808,4999
"90","QMw74",2,0.246591549295775,0.396723309426635,0.102685681436321,426,-1.4620515541299,0.0852,4999
"91","QVf8L",4,0.499415492957746,0.39738299906814,0.103824807631648,4256,0.982737133995947,0.8512,4999
"92","QYeyE",6,0.378184489209423,0.395969443494635,0.106619383785657,1782,-0.166807888525849,0.3564,4999
"93","r2ykG",5,0.217726922424656,0.396318450856825,0.10462585372035,344,-1.70695408526385,0.0688,4999
"94","RYvED",6,0.266156471724322,0.399166826555159,0.105033673837207,562,-1.26635915865412,0.1124,4999
"95","rZ0ul",5,0.35022411939377,0.396658798484706,0.105307115622213,1358,-0.44094531330171,0.2716,4999
"96","SAk6r",7,0.399627941250356,0.398203169589708,0.103756615201629,2173,0.0137318633407535,0.4346,4999
"97","sS0ji",8,0.353229763103643,0.395708774060424,0.105463154548255,1428,-0.402785324777517,0.2856,4999
"98","SVCEa",3,0.34778921431312,0.396796240416033,0.104803661168864,1304,-0.467607959076461,0.2608,4999
"99","TbUBp",2,0.0546021999767198,0.395451255247023,0.104185825963132,33,-3.27154919701763,0.0066,4999
"100","To1zd",9,0.48967174475424,0.398319417877506,0.105043355565465,4035,0.86966306802529,0.807,4999
"101","trOmx",11,0.482060994223227,0.397944447701061,0.104188024220334,3929,0.807353312932386,0.7858,4999
"102","TrRF4",11,0.535108492134476,0.39574939021405,0.107810869472636,4649,1.29262571206513,0.9298,4999
"103","TUJhp",8,0.274706301276534,0.397196878013802,0.106108859254956,637,-1.15438595417326,0.1274,4999
"104","twed3",3,0.17698047735161,0.398110559596951,0.103828316036196,205,-2.12976662520706,0.041,4999
"105","U3mPy",6,0.452175994925079,0.397716964368709,0.104468036133773,3365,0.521298500209514,0.673,4999
"106","U5Lyc",6,0.434931820841949,0.398968319822949,0.104230891129778,2983,0.345036875624733,0.5966,4999
"107","uijTr",4,0.360910992112006,0.395447241345593,0.105047148116,1510,-0.328769032315375,0.302,4999
"108","uISKe",10,0.469975058171851,0.39429788438324,0.105193557159286,3789,0.719408829135983,0.7578,4999
"109","uIvCn",9,0.363973271385328,0.397268479475048,0.104799926778453,1521,-0.317702589240406,0.3042,4999
"110","UizNm",3,0.420623043818466,0.395217320435966,0.104913055463977,2651,0.242159789076234,0.5302,4999
"111","UtY7R",11,0.476312841927599,0.396989103058794,0.103777053424081,3860,0.764366844611123,0.772,4999
"112","v8EUT",7,0.447738127016934,0.395286952191607,0.107247849588894,3233,0.489065049102473,0.6466,4999
"113","vDe7G",6,0.567879759900016,0.395784916631753,0.104395283474592,4895,1.64849251365026,0.979,4999
"114","VF2Pq",6,0.477710075557512,0.396253888285616,0.10293644840473,3921,0.791325021741787,0.7842,4999
"115","vLXXi",2,0.0131240062597809,0.39623179987188,0.103916715422053,6,-3.68668112782553,0.0012,4999
"116","vnlxz",5,0.434779663351576,0.394064939997106,0.106018261883651,3002,0.384035001433544,0.6004,4999
"117","VNQ0u",8,0.346358115435424,0.396504178576808,0.104825856355831,1332,-0.478374943784515,0.2664,4999
"118","vtkfe",5,0.367510175692604,0.39526802050458,0.103644413115438,1631,-0.267818051910432,0.3262,4999
"119","w4NX6",9,0.465880745901188,0.39669015944225,0.104176995562922,3616,0.664163773250192,0.7232,4999
"120","WfPqj",5,0.288426285523794,0.397004265145045,0.103763394148618,713,-1.04639965290396,0.1426,4999
"121","wiATg",4,0.144864708113431,0.39940006921064,0.104705805983189,145,-2.43095746894948,0.029,4999
"122","WJHmh",13,0.480697480081381,0.398289458394789,0.103202311450081,3916,0.798509457091498,0.7832,4999
"123","wk3yD",6,0.504690309283814,0.395972999910608,0.104849412122982,4337,1.03689002324292,0.8674,4999
"124","x6lwo",4,0.461045452772034,0.396245958139029,0.103808702082676,3570,0.624220256423173,0.714,4999
"125","xomGl",7,0.421985428194165,0.394569598149638,0.105579235096476,2708,0.259670663643994,0.5416,4999
"126","XvuFi",6,0.272521206495761,0.396089225396465,0.106736086320605,645,-1.15769673744211,0.129,4999
"127","YFmep",6,0.471188550314639,0.396770716351844,0.104275756794055,3764,0.713663810752963,0.7528,4999
"128","YgefT",10,0.449783346917633,0.396039006197825,0.102215536483737,3368,0.525794243895197,0.6736,4999
"129","yjMQ9",5,0.47477540137947,0.394810398534668,0.105070616844864,3844,0.761059611583602,0.7688,4999
"130","yLOw6",8,0.496731995168504,0.395627117620872,0.103430493927664,4259,0.977515176697718,0.8518,4999
"131","yOqkX",4,0.4725630948385,0.39496044686156,0.10476158695475,3827,0.740754796034722,0.7654,4999
"132","Z4sxV",3,0.241401824093057,0.394028022281246,0.103605240256389,444,-1.47315133684831,0.0888,4999
"133","zAo4O",7,0.361886583705458,0.396386563440369,0.102614730701189,1532,-0.336208841549024,0.3064,4999
"134","zAXNf",9,0.409219645386702,0.397582659675113,0.104891646079431,2359,0.110942922020474,0.4718,4999
"135","zIOo4",3,0.263019474873935,0.39434900904789,0.105321411409001,581,-1.2469405073196,0.1162,4999
"136","zUUAk",8,0.339777351397698,0.393679879844423,0.105457945499758,1250,-0.511128186608274,0.25,4999
