"","site_id","ntaxa","mfd.obs","mfd.rand.mean","mfd.rand.sd","mfd.obs.rank","ses_mfd","p_value","runs"
"46","GDWGB",5,0.38914918079908,0.412170335794874,0.112837077727155,1728,-0.204021191079235,0.3456,4999
"47","ggYQS",12,0.4285667222485,0.41125380819601,0.110522099494696,2396,0.156646626617157,0.4792,4999
"48","GNZuC",4,0.289515994817304,0.411940340194602,0.110015582178757,674,-1.11279096063301,0.1348,4999
"49","hEdHx",12,0.444503749919265,0.412202294654825,0.111996342358096,2650,0.288415269501925,0.53,4999
"50","Hq5sT",4,0.305373701117137,0.414153580165823,0.110908488587209,776,-0.980807514684966,0.1552,4999
"51","HtRms",2,0.36172114253576,0.412928767946906,0.111289750713074,1302,-0.460128853583015,0.2604,4999
"52","huqmO",6,0.476346771830986,0.412361201691924,0.110558776471703,3391,0.578747089838125,0.6782,4999
"53","IBsVs",2,0.429577464788732,0.412904264857518,0.109258820440316,2409,0.152602781761885,0.4818,4999
"54","iMm0w",5,0.401080373991734,0.412901542565305,0.109910603199042,1895,-0.107552576635068,0.379,4999
"55","iO6vH",7,0.253745773963509,0.413436786656881,0.111184159666123,471,-1.43627485401617,0.0942,4999
"56","J64gf",5,0.18172168548481,0.414760828742789,0.11104009119784,219,-2.09869373074248,0.0438,4999
"57","jXk3i",5,0.360732289946639,0.415327770363075,0.110675342206035,1280,-0.493293983359002,0.256,4999
"58","L8NdO",6,0.380972014726155,0.41526333236761,0.109010024149365,1542,-0.314570315060839,0.3084,4999
"59","l9qwa",5,0.443054426280676,0.416494816534103,0.109621565356581,2583,0.242284532794064,0.5166,4999
"60","LeJL9",4,0.263121054368539,0.413639196280457,0.109992765830503,528,-1.36843674013855,0.1056,4999
"61","lm8Vb",4,0.520976786645801,0.413772272319461,0.110223977697597,4225,0.972606111353189,0.845,4999
"62","LqLKT",5,0.392134163346757,0.413839584683849,0.108985956248127,1730,-0.199157965707754,0.346,4999
"63","lvTbU",6,0.432398771228192,0.414906529229066,0.110783048568355,2382,0.157896376974435,0.4764,4999
"64","Lwe2a",4,0.267270184895381,0.412735129589381,0.110994437186242,548,-1.31056067656723,0.1096,4999
"65","LXbGC",5,0.483133612128314,0.411900510089878,0.111877501762562,3523,0.636706227044776,0.7046,4999
"66","LYkor",9,0.430566463803397,0.414317198275184,0.111425712882411,2373,0.145830482999561,0.4746,4999
