"","site","sr","Habitat_type","longs","lats","mfd.obs","ses_mfd","p_value","perc_tree_500","perc_grass_500","perc_urb_500"
"15","98vV9",9,"Garden",-79.406755,43.665426,0.242650811443053,-1.47235137951417,0.0948,23.504121602997,13.9890962010071,62.5067821959959
"16","9PF5p",6,"Garden",-79.370652,43.660279,0.394995928697183,0.00824761345968143,0.424,21.4227464031615,14.2870444096268,64.2902091872117
"17","A3kcA",7,"Roof",-79.36489,43.684797,0.0755388032555902,-3.05611576474724,0.0106,50.4243972339341,27.1175052480741,22.4580975179917
"18","a6qJm",11,"Park",-79.49993,43.73702,0.548026294209668,1.46293202978254,0.955,52.6832382103613,20.7849273118642,26.5183983388713
"19","AcIS2",3,"Garden",-79.342113,43.673527,0.372474849094567,-0.223559638339878,0.333,31.1357631109028,20.0667135636544,48.4407057293506
"20","AZjsh",9,"Park",-79.358517,43.734428,0.483148050648744,0.873962816726396,0.8162,58.3685302184932,15.913921799533,25.7175479819738
"21","b1KH7",3,"Garden",-79.354461,43.679111,0.354717022355741,-0.365543364819541,0.2862,31.8365484072942,15.3280935005126,52.7085287567744
"22","B3wLW",3,"Park",-79.345825,43.71042,0.284469814921274,-1.00446909611318,0.1498,29.9488534353688,15.7166178482922,54.334528716339
"23","BeXKd",8,"Park",-79.51065,43.663141,0.282295265346186,-1.04745200539065,0.1438,58.6248855343786,18.1775968630057,23.1333640335692
"24","BFBTl",2,"Garden",-79.30184,43.671931,0.310651344149631,-0.791080280046808,0.1898,42.6675080033219,16.1506371703574,40.7092449660813
"25","BQDxR",7,"Park",-79.306211,43.698117,0.386455490535257,-0.0611298893646079,0.4012,47.1337118120202,19.7828639035888,33.083424284391
"26","BW4HD",5,"Garden",-79.50165,43.596019,0.155109331675349,-2.13376233272377,0.0388,32.8654471370055,24.1601859012919,42.3748066511988
"27","CAgNl",5,"Garden",-79.537963,43.588936,0.305666699156879,-0.825899906104349,0.1768,42.9713839808538,19.7963039249484,36.2219835445133
"28","cFdUw",3,"Garden",-79.437339,43.662834,0.263875499913059,-1.22392543571668,0.1124,12.8725004024305,17.2714894421053,69.66875961075
"29","Ci7F8",2,"Park",-79.488513,43.6139,0.316556599472645,-0.736543464869878,0.2048,22.5243531568144,24.9462199170099,52.4323200980554
"30","D1rgw",6,"Community",-79.451969,43.666957,0.285104775772014,-1.01188820181665,0.1446,9.9419415484611,13.5540286173106,75.297398597468
"31","D8Tvb",5,"Garden",-79.445991,43.643792,0.430656026103712,0.358134325599499,0.5854,27.4599181349517,18.0012308188981,54.5388510461502
"32","DQ8Sw",11,"Community",-79.311693,43.698988,0.519083051792623,1.16454345729809,0.9024,44.1916491540933,24.9023053234703,30.2467126332498
"33","dqrON",10,"Community",-79.585999,43.731749,0.476500212998216,0.801769408790296,0.7846,33.6015919171594,36.0801917131579,30.2837365874575
"34","E3dsm",4,"Park",-79.238772,43.704891,0.330670495689456,-0.607441353125888,0.2294,42.4363225149525,32.0529290235581,20.911386043101
"35","e8Lju",3,"Garden",-79.415969,43.661559,0.412220950704225,0.172925366721916,0.503,21.0023403350765,19.2221171983671,59.5729243915381
"36","eLGzd",2,"Roof",-79.352898,43.677607,0.114853209626367,-2.64184344489498,0.015,31.6121631480657,16.2202379586761,52.0407273661655
"37","Enp7x",6,"Park",-79.463149,43.783265,0.385032850478927,-0.0934307141608298,0.3862,42.7955927283343,26.0756952419315,28.5506280990361
"38","ErRUg",4,"Garden",-79.404175,43.723462,0.312574680702559,-0.765743012036753,0.1902,54.4480157236151,9.9501574975386,35.5539057050841
"39","eTUNR",8,"Park",-79.19559,43.775594,0.44012486982605,0.446666117254468,0.6388,53.1461455137159,22.7102049990414,23.1357949839595
"40","fJPzr",7,"Garden",-79.382383,43.707176,0.575999118473685,1.76115690894047,0.9878,38.4653199734024,19.336986678284,42.1976933483136
"41","fLwK1",6,"Park",-79.322382,43.633207,0.333759728231664,-0.516320261301642,0.2546,19.0928588148707,42.4879743058206,0
"42","fn6iP",6,"Garden",-79.268659,43.764924,0.426703343153711,0.324824044174514,0.5806,26.4194616497616,16.5777291187507,56.5003925202373
"43","fqMOZ",5,"Garden",-79.519396,43.651335,0.318999795602424,-0.713117353164157,0.2048,51.3252585205379,21.2293959994019,27.4453454800603
"44","FTl5s",11,"Garden",-79.428666,43.682689,0.385076604160384,-0.0973006193389751,0.3866,29.6975161680459,16.0222915169413,54.1820443307844
"45","gbEGj",7,"Garden",-79.467402,43.661634,0.426286876446928,0.305651308850103,0.5624,38.3491307593955,14.7241213579855,46.9267020220828
"46","GDWGB",5,"Park",-79.503495,43.735575,0.315777701925841,-0.731495417174406,0.202,39.8069823805017,27.6609195059549,32.4059398082669
"47","ggYQS",12,"Community",-79.450439,43.673641,0.415962441314554,0.223626134615544,0.5248,12.0312703750572,23.5416280210183,64.0814947187852
"48","GNZuC",4,"Community",-79.541744,43.640049,0.263294826841324,-1.25756742585036,0.1078,30.8572675959709,25.4065476878374,43.7361847161917
"49","hEdHx",12,"Community",-79.495762,43.765351,0.471033818057247,0.734127939871396,0.7632,16.0219035197301,41.4338217246911,42.4576130833893
"50","Hq5sT",4,"Park",-79.37414,43.726746,0.353203098244747,-0.402397798874848,0.2814,71.7288707224649,14.9371151632908,13.2711338774061
"51","HtRms",2,"Community",-79.433051,43.640415,0.323518760481075,-0.676132845692204,0.2082,17.9251383100493,16.5754230012914,65.4010716277295
"52","huqmO",6,"Garden",-79.310561,43.735651,0.424588078873239,0.295868356293951,0.5576,33.7235105306563,22.9338420314411,43.2077977952542
"53","IBsVs",2,"Roof",-79.294239,43.668743,0.447183098591549,0.509509269150744,0.6672,42.3931314923387,12.8280723725324,36.5443271200697
"54","iMm0w",5,"Park",-79.192289,43.745528,0.344799368471976,-0.475918068424856,0.2638,65.870781352965,15.1814021760342,16.4339511113499
"55","iO6vH",7,"Garden",-79.437662,43.647506,0.258763880660054,-1.28514907652121,0.1122,15.0362809025144,17.3360434325192,67.1396193325708
"56","J64gf",5,"Park",-79.36118,43.64742,0.198569156675591,-1.86418307881049,0.0554,4.67888732213819,17.8608033196811,72.5126318066891
"57","jXk3i",5,"Garden",-79.433771,43.666052,0.325996002642844,-0.665757259096761,0.2128,13.143444397159,18.7320692210613,67.8375022012209
"58","L8NdO",6,"Garden",-79.483896,43.641172,0.380924011386123,-0.142909416047615,0.367,63.7326211353104,13.8298775048411,20.6247144318009
