"","Megachile_centuncularis","Megachile_rotundata","Trypoxylon_frigidum","Ancistrocerus_antilope","Osmia_pumila","Passaloecus_gracilis","Trypoxylon_collinum","Euodynerus_foraminatus","Hylaeus_annulatus","Megachile_campanulae","Megachile_pugnata","Osmia_caerulescens","Heriades_carinata","Hylaeus_affinis","Auplopus_mellipes","Megachile_relativa","Symmorphus_cristatus","Hylaeus_modestus","Psenulus_pallipes","Ancistrocerus_gazella","Isodontia_mexicana","Passaloecus_cuspidatus","Symmorphus_canadensis","Trypoxylon_lactitarse","Osmia_lignaria","Ancistrocerus_adiabatus","Euodynerus_planitarsis","Megachile_frigida","Hylaeus_verticalis","Hylaeus_mesillae","Hylaeus_hyalinatus","Hylaeus_leptocephalus","Megachile_mendica","Dipogon_sayi","Megachile_inermis","Heriades_variolosa","Osmia_atriventris","Anthidium_manicatum","Chelostoma_rapunculi","Hoplitis_producta","Passaloecus_monilicornis","Hoplitis_spoliata","Hoplitis_truncata","Monobia_quadridrens","Symmorphus_albomarginatus","Symmorphus_bifasciatus","Chelostoma_campanularum","Megachile_brevis","Anthophora_terminalis","Megachile_sculpturalis"
"iMm0w",0,0,11,38,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,47,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iO6vH",28,0,15,0,20,0,0,0,0,0,0,116,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"IZu8P",0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J64gf",83,77,12,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
"jXk3i",0,4,0,0,0,0,14,13,0,63,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L8NdO",0,0,27,0,65,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"l9qwa",13,0,0,0,0,0,7,0,0,20,0,0,33,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LeJL9",0,0,0,0,0,0,0,0,0,2,0,17,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lm8Vb",4,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LqLKT",0,0,122,0,63,0,18,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lvTbU",67,12,0,0,0,0,0,20,0,0,0,38,10,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lwe2a",0,0,14,0,0,0,40,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"LXbGC",0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,39,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LYkor",0,0,3,16,92,0,27,9,0,18,0,39,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"m1Tjg",0,2,0,0,26,0,0,0,0,30,0,47,15,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m9rCB",0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,26,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mngaK",0,5,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MR9ay",0,0,13,0,180,0,9,0,0,26,0,77,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N0NrL",20,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,15,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nj3Tv",0,0,0,0,70,13,12,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,5,23,0,10,0,12,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nSPob",0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NTp7f",0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oemYW",7,0,89,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ov9ky",0,0,0,2,0,0,13,15,0,7,0,0,10,0,0,0,0,0,39,0,0,0,2,30,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"OxeKC",0,1,63,0,99,0,0,0,0,23,0,0,0,0,0,6,4,0,0,0,32,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P3KiK",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p4hhS",0,0,2,3,0,0,0,0,0,0,0,0,0,0,21,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P4Wxh",0,1,45,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,40,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P5vps",0,16,14,20,57,0,0,8,0,9,0,0,0,0,0,0,0,0,14,0,4,0,10,38,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P9Lc3",76,0,95,0,0,18,4,0,0,0,0,0,0,0,0,2,0,8,9,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"phL7O",14,0,2,0,0,0,0,0,0,34,0,0,36,0,0,0,0,0,0,0,19,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q19Ql",0,0,66,0,34,46,14,0,0,89,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q1kCz",33,23,27,0,61,0,0,0,0,24,0,0,0,0,0,0,0,0,7,0,3,19,43,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,13,0,0,0,0,0,0
"Q2diL",42,0,122,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QiOKk",0,32,18,0,60,0,9,0,0,25,0,34,19,0,0,0,0,8,55,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
