No,ID,Habitat_type,Year_2011,Year_2012,Year_2013,Notes,Years
78,Enp7x,Park,Y,Y,Y,All three years,3
79,98vV9,Garden,Y,Y,Y,All three years,3
80,LeJL9,Roof,Y,Y,Y,All three years,3
81,eBxtw,Roof,Y,Y,Y,All three years,3
82,iMm0w,Park,Y,Y,Y,All three years,3
83,zMknh,Roof,Y,Y,Y,All three years,3
84,TUJhp,Park,Y,Y,Y,All three years,3
85,QVf8L,Park,Y,Y,Y,All three years,3
86,P5vps,Park,Y,Y,Y,All three years,3
87,w4NX6,Park,Y,Y,Y,All three years,3
88,nj3Tv,Park,Y,Y,Y,All three years,3
89,2IVbG,Park,Y,Y,Y,All three years,3
90,QMw74,Roof,Y,Y,Y,All three years,3
91,xRMA3,Park,Y,Y,N,Not returned in 2013,2
