"","site","perc_tree_250","perc_grass_250","perc_earth_250","perc_build_250","perc_roads_250","perc_paved_250","perc_urb_250"
"29","SAk6r",43.7723346957345,18.2506108791523,0,22.1332707166915,10.9906882204889,4.85309548793284,37.9770544251132
"30","cYKSV",58.668456927355,20.6692566749576,0,6.68559647230599,9.59550380430396,4.38118612107739,20.6622863976873
"31","BW4HD",31.2274605586005,24.8871803910707,0.78029482778398,19.0127270031251,15.369206191999,8.72313102742083,43.1050642225449
"32","HtRms",22.7172423660447,18.382758917975,0,30.1718935437658,15.2741473651,13.4539578071146,58.8999987159804
"33","P3KiK",20.6854994038338,14.5871778409612,0,32.5347152159956,19.5085756213886,12.6840319178208,64.727322755205
"34","dqrON",26.9447710518061,31.4542149469795,0,17.6039635561213,8.33579435292305,15.6612560921699,41.6010140012143
"35","tdjbt",18.0929548322719,28.3892304757433,0,24.572241951105,15.9149106330526,13.0306621078273,53.5178146919849
"36","IBsVs",38.619890702428,11.1272853726044,7.8119661230093,24.1358395351517,10.4582774815866,7.84674078521996,42.4408578019583
"37","BliwX",7.76326988832308,16.6917364953113,0.467032563873032,33.8859090442158,20.5696109651762,20.6224410431005,75.0779610524926
"38","iO6vH",14.2903262492525,16.4414141747651,0.163803318622218,26.6647223047659,19.6088897693547,22.8308441832396,69.1044562573601
"39","a6qJm",41.8369948621814,32.4561194336477,0,9.85540369754188,7.80339451880412,8.04808748782497,25.706885704171
"40","GDWGB",53.3613499329546,26.6372926499533,0,7.15615616166471,5.84166279925085,7.00353845617652,20.0013574170921
"41","WY8Fi",3.61601590731494,85.0254421653906,0,1.24477674362295,0,10.1137651836715,0
"42","x6lwo",40.6515801580066,20.2393028191362,0,17.1703349615806,9.27238809392351,12.6663939673531,39.1091170228572
"43","JexxL",10.3013360920957,14.6063994482475,0,38.7446530636203,21.5944692684144,14.7531421276221,75.0922644596568
"44","VF2Pq",9.25466328419207,17.4010341861058,0.555980504913209,33.1212866610537,21.3448088003038,18.3222265634315,72.7883220247889
"45","L8NdO",74.9007117489876,11.0052416380485,3.79127240397251,6.34883027937491,2.51359259820133,1.44035133141514,10.3027742089914
"46","ggYQS",16.5751359204068,40.0851474397071,0.616869538420902,16.6923466355572,10.4284519381039,15.6020485278041,42.7228471014652
"47","IZu8P",31.8613306723067,17.5851549931854,0.33201688333367,23.8164331848123,13.7543038376382,12.6507604287237,50.2214974511743
"48","DQ8Sw",42.603723955515,37.9650129408463,1.69982739423999,5.58208128428957,6.67806366052611,5.47129076458299,17.7314357093987
"49","lvTbU",50.7466984280722,22.6574872714422,0,9.36219781945735,4.11315187698314,13.1204646040451,26.5958143004856
"50","6FUNv",40.8698392215412,32.9563955015042,0,8.07474735349504,5.15552671263195,12.9434912108276,26.1737652769546
"51","WJHmh",52.6893679050762,18.2290919252876,0,9.75068164137733,5.56755613628296,13.7633023919759,29.0815401696362
"52","A3kcA",40.8101634112625,30.0326746360282,0,8.19741116345315,5.6245691936829,15.3351815955733,29.1571619527094
"53","36NAI",25.0044023126816,23.6844422269832,0.589909899333783,28.484980776568,12.7092932820708,9.52697150236257,50.7212455610014
"54","BFBTl",48.4100372360915,13.6032797109159,0,23.3642716950676,10.2479960379331,4.37441531999193,37.9866830529926
"55","1WsN2",51.752338592184,24.135849361268,0,5.15004055150041,7.55689136968656,11.404880125361,24.111812046548
"56","8J98D",21.6543218029004,17.5821676333447,0.69391708213645,27.4316446733655,13.5278062094848,19.1101425987681,60.0695934816184
"57","E8yKV",55.6896816143415,9.20400813748732,0.0364006585378022,9.74225746906406,11.284758471468,14.0428936491013,35.0699095896334
"58","g673v",30.0581279107519,15.5874147295282,0,29.5482017766707,16.1439312370111,8.66232434603808,54.3544573597199
"59","f5USN",0.614241340136142,5.93140603451609,0,35.9553975353014,6.61377366237717,50.8851814276692,93.4543526253478
"60","zAo4O",27.3670724365281,31.6572076768329,0,19.5674439435544,10.1375163360303,11.2707596070542,40.975719886639
"61","8BqiG",28.626352562233,34.9152281219218,0,21.3873129249829,11.0666600632098,4.00444632765253,36.4584193158452
"62","U5Lyc",11.5808688632861,12.3257136567109,0,20.6589858369414,12.4644088941073,42.9700227489543,76.0934174800029
"63","fJPzr",41.5090705651448,20.6986811453308,0,20.5886237320469,12.3871452941284,4.81647926334905,37.7922482895244
"64","xomGl",3.9091541578017,33.4970178816955,0,8.85732275716984,18.8671071157804,34.8693980875526,62.5938279605028
"65","zIOo4",8.81576051067576,18.9261868075427,0,39.6162594467679,11.144251228997,21.4975420060166,72.2580526817815
"66","MR9ay",42.4357038958276,20.2807182307268,0.627690659662162,17.8603856023684,10.8697606081005,7.92574100331454,36.6558872137835
"67","zAXNf",6.10584665954957,13.2847609718875,0,39.1638510105179,27.3634085764703,14.0821327815748,80.609392368563
"68","GTAMi",63.8406036571932,18.977564808695,0.250973048395388,6.20768157450246,0.86876698244841,9.85440992876551,16.9308584857164
"69","U3mPy",65.2112823315987,8.72882086537985,0,9.85690728230225,10.1982680663498,6.00472145436936,26.0598968030214
"70","Hq5sT",79.2004746007532,15.6876183738292,0.248354741954264,3.09282719079098,0.507763849277413,1.26296124339502,4.86355228346341
